"X","participant","gender","age","language","logical_training","trial_type","card_type","guess_type","card","guess","response","aim","comments","response_type"
66,"anon10","male",35,"english","No","XY_XandY","XY","XandY","catdog","catanddog","right","unsure","none","binary"
67,"anon10","male",35,"english","No","X_XorY","X","XorY","cat","catorele","right","unsure","none","binary"
68,"anon10","male",35,"english","No","X_XandY","X","XandY","dog","catanddog","wrong","unsure","none","binary"
69,"anon10","male",35,"english","No","X_XorY","X","XorY","ele","catorele","right","unsure","none","binary"
70,"anon10","male",35,"english","No","XY_Z","XY","Z","dogele","cat","wrong","unsure","none","binary"
71,"anon10","male",35,"english","No","X_XorY","X","XorY","dog","catordog","right","unsure","none","binary"
72,"anon10","male",35,"english","No","XY_Z","XY","Z","catdog","ele","wrong","unsure","none","binary"
73,"anon11","female",27,"English","No","XY_XorY","XY","XorY","dogele","dogorele","right","And vs or","no","binary"
74,"anon11","female",27,"English","No","X_X","X","X","cat","cat","right","And vs or","no","binary"
75,"anon11","female",27,"English","No","X_XandY","X","XandY","dog","dogandele","wrong","And vs or","no","binary"
76,"anon11","female",27,"English","No","X_Z","X","Z","dog","cat","wrong","And vs or","no","binary"
77,"anon11","female",27,"English","No","X_XandY","X","XandY","ele","dogandele","wrong","And vs or","no","binary"
78,"anon11","female",27,"English","No","XY_X","XY","X","dogele","ele","right","And vs or","no","binary"
79,"anon11","female",27,"English","No","X_Z","X","Z","dog","ele","wrong","And vs or","no","binary"
80,"anon11","female",27,"English","No","X_XandY","X","XandY","ele","catandele","wrong","And vs or","no","binary"
81,"anon11","female",27,"English","No","XY_XandY","XY","XandY","dogele","dogandele","right","And vs or","no","binary"
82,"anon11","female",27,"English","No","XY_X","XY","X","catele","cat","right","And vs or","no","binary"
83,"anon11","female",27,"English","No","XY_Z","XY","Z","catele","dog","wrong","And vs or","no","binary"
84,"anon11","female",27,"English","No","X_XorY","X","XorY","cat","catorele","right","And vs or","no","binary"
85,"anon11","female",27,"English","No","X_XorY","X","XorY","dog","catordog","right","And vs or","no","binary"
86,"anon11","female",27,"English","No","XY_XorY","XY","XorY","catele","catorele","right","And vs or","no","binary"
87,"anon11","female",27,"English","No","XY_Z","XY","Z","catdog","ele","wrong","And vs or","no","binary"
88,"anon11","female",27,"English","No","XY_XandY","XY","XandY","catdog","catanddog","right","And vs or","no","binary"
89,"anon11","female",27,"English","No","X_Z","X","Z","ele","cat","wrong","And vs or","no","binary"
90,"anon11","female",27,"English","No","XY_X","XY","X","catele","ele","right","And vs or","no","binary"
91,"anon11","female",27,"English","No","X_X","X","X","dog","dog","right","And vs or","no","binary"
92,"anon11","female",27,"English","No","X_XorY","X","XorY","ele","catorele","right","And vs or","no","binary"
93,"anon11","female",27,"English","No","X_X","X","X","ele","ele","right","And vs or","no","binary"
94,"anon11","female",27,"English","No","XY_Z","XY","Z","dogele","cat","wrong","And vs or","no","binary"
95,"anon11","female",27,"English","No","XY_XorY","XY","XorY","catdog","catordog","right","And vs or","no","binary"
96,"anon11","female",27,"English","No","XY_XandY","XY","XandY","catele","catandele","right","And vs or","no","binary"
97,"anon12","male",28,"english","No","XY_Z","XY","Z","catdog","ele","wrong","not really sure","","quatenary"
98,"anon12","male",28,"english","No","X_XandY","X","XandY","dog","catanddog","kinda right","not really sure","","quatenary"
99,"anon12","male",28,"english","No","X_XandY","X","XandY","ele","dogandele","kinda wrong","not really sure","","quatenary"
100,"anon12","male",28,"english","No","XY_Z","XY","Z","dogele","cat","kinda right","not really sure","","quatenary"
101,"anon12","male",28,"english","No","XY_XandY","XY","XandY","catdog","catanddog","kinda right","not really sure","","quatenary"
102,"anon12","male",28,"english","No","X_Z","X","Z","ele","dog","kinda wrong","not really sure","","quatenary"
103,"anon12","male",28,"english","No","X_XorY","X","XorY","dog","dogorele","right","not really sure","","quatenary"
104,"anon12","male",28,"english","No","XY_X","XY","X","catdog","cat","kinda right","not really sure","","quatenary"
105,"anon12","male",28,"english","No","X_Z","X","Z","cat","dog","wrong","not really sure","","quatenary"
106,"anon12","male",28,"english","No","XY_Z","XY","Z","catele","dog","wrong","not really sure","","quatenary"
107,"anon12","male",28,"english","No","X_Z","X","Z","cat","ele","wrong","not really sure","","quatenary"
108,"anon12","male",28,"english","No","X_X","X","X","dog","dog","wrong","not really sure","","quatenary"
109,"anon12","male",28,"english","No","XY_XorY","XY","XorY","catdog","catordog","wrong","not really sure","","quatenary"
110,"anon12","male",28,"english","No","XY_XandY","XY","XandY","dogele","dogandele","wrong","not really sure","","quatenary"
111,"anon12","male",28,"english","No","XY_XorY","XY","XorY","catele","catorele","kinda right","not really sure","","quatenary"
112,"anon12","male",28,"english","No","X_XorY","X","XorY","dog","catordog","right","not really sure","","quatenary"
113,"anon12","male",28,"english","No","X_X","X","X","cat","cat","kinda right","not really sure","","quatenary"
114,"anon12","male",28,"english","No","XY_X","XY","X","catdog","dog","kinda right","not really sure","","quatenary"
115,"anon12","male",28,"english","No","X_XandY","X","XandY","cat","catandele","kinda right","not really sure","","quatenary"
116,"anon12","male",28,"english","No","X_XorY","X","XorY","cat","catorele","kinda right","not really sure","","quatenary"
117,"anon12","male",28,"english","No","XY_XorY","XY","XorY","dogele","dogorele","kinda right","not really sure","","quatenary"
118,"anon12","male",28,"english","No","XY_XandY","XY","XandY","catele","catandele","kinda right","not really sure","","quatenary"
119,"anon12","male",28,"english","No","X_X","X","X","ele","ele","kinda right","not really sure","","quatenary"
120,"anon12","male",28,"english","No","XY_X","XY","X","dogele","ele","kinda wrong","not really sure","","quatenary"
145,"anon14","male",35,"English","Yes","XY_X","XY","X","catdog","dog","right","something to do with logic","no, thank you.","binary"
146,"anon14","male",35,"English","Yes","X_Z","X","Z","cat","dog","wrong","something to do with logic","no, thank you.","binary"
147,"anon14","male",35,"English","Yes","X_X","X","X","ele","ele","right","something to do with logic","no, thank you.","binary"
148,"anon14","male",35,"English","Yes","XY_XandY","XY","XandY","dogele","dogandele","right","something to do with logic","no, thank you.","binary"
149,"anon14","male",35,"English","Yes","X_XandY","X","XandY","cat","catanddog","wrong","something to do with logic","no, thank you.","binary"
150,"anon14","male",35,"English","Yes","XY_XandY","XY","XandY","catele","catandele","right","something to do with logic","no, thank you.","binary"
151,"anon14","male",35,"English","Yes","X_XandY","X","XandY","dog","catanddog","wrong","something to do with logic","no, thank you.","binary"
152,"anon14","male",35,"English","Yes","X_XorY","X","XorY","dog","catordog","right","something to do with logic","no, thank you.","binary"
153,"anon14","male",35,"English","Yes","X_XorY","X","XorY","ele","dogorele","right","something to do with logic","no, thank you.","binary"
154,"anon14","male",35,"English","Yes","XY_X","XY","X","dogele","ele","right","something to do with logic","no, thank you.","binary"
155,"anon14","male",35,"English","Yes","X_X","X","X","dog","dog","right","something to do with logic","no, thank you.","binary"
156,"anon14","male",35,"English","Yes","X_Z","X","Z","dog","cat","wrong","something to do with logic","no, thank you.","binary"
157,"anon14","male",35,"English","Yes","XY_Z","XY","Z","dogele","cat","wrong","something to do with logic","no, thank you.","binary"
158,"anon14","male",35,"English","Yes","XY_Z","XY","Z","catdog","ele","wrong","something to do with logic","no, thank you.","binary"
159,"anon14","male",35,"English","Yes","XY_Z","XY","Z","catele","dog","wrong","something to do with logic","no, thank you.","binary"
160,"anon14","male",35,"English","Yes","X_X","X","X","cat","cat","right","something to do with logic","no, thank you.","binary"
161,"anon14","male",35,"English","Yes","X_XorY","X","XorY","cat","catordog","right","something to do with logic","no, thank you.","binary"
162,"anon14","male",35,"English","Yes","X_Z","X","Z","ele","dog","wrong","something to do with logic","no, thank you.","binary"
163,"anon14","male",35,"English","Yes","XY_XorY","XY","XorY","catele","catorele","right","something to do with logic","no, thank you.","binary"
164,"anon14","male",35,"English","Yes","XY_XandY","XY","XandY","catdog","catanddog","right","something to do with logic","no, thank you.","binary"
165,"anon14","male",35,"English","Yes","XY_XorY","XY","XorY","dogele","dogorele","right","something to do with logic","no, thank you.","binary"
166,"anon14","male",35,"English","Yes","XY_X","XY","X","catdog","cat","right","something to do with logic","no, thank you.","binary"
167,"anon14","male",35,"English","Yes","X_XandY","X","XandY","cat","catandele","wrong","something to do with logic","no, thank you.","binary"
168,"anon14","male",35,"English","Yes","XY_XorY","XY","XorY","catdog","catordog","right","something to do with logic","no, thank you.","binary"
169,"anon15","female",25,"english","Yes","XY_XandY","XY","XandY","dogele","dogandele","right","unsure","no","ternary"
170,"anon15","female",25,"english","Yes","XY_XandY","XY","XandY","catdog","catanddog","right","unsure","no","ternary"
171,"anon15","female",25,"english","Yes","XY_Z","XY","Z","catdog","ele","wrong","unsure","no","ternary"
172,"anon15","female",25,"english","Yes","X_X","X","X","dog","dog","right","unsure","no","ternary"
173,"anon15","female",25,"english","Yes","X_Z","X","Z","ele","cat","wrong","unsure","no","ternary"
174,"anon15","female",25,"english","Yes","X_Z","X","Z","dog","cat","wrong","unsure","no","ternary"
175,"anon15","female",25,"english","Yes","XY_X","XY","X","catdog","cat","neiter","unsure","no","ternary"
176,"anon15","female",25,"english","Yes","XY_XandY","XY","XandY","catele","catandele","right","unsure","no","ternary"
177,"anon15","female",25,"english","Yes","XY_XorY","XY","XorY","dogele","dogorele","neiter","unsure","no","ternary"
178,"anon15","female",25,"english","Yes","X_XorY","X","XorY","ele","catorele","right","unsure","no","ternary"
179,"anon15","female",25,"english","Yes","XY_X","XY","X","catele","cat","neiter","unsure","no","ternary"
180,"anon15","female",25,"english","Yes","XY_X","XY","X","dogele","ele","neiter","unsure","no","ternary"
181,"anon15","female",25,"english","Yes","X_Z","X","Z","dog","ele","wrong","unsure","no","ternary"
182,"anon15","female",25,"english","Yes","X_XorY","X","XorY","dog","dogorele","right","unsure","no","ternary"
183,"anon15","female",25,"english","Yes","XY_Z","XY","Z","catele","dog","wrong","unsure","no","ternary"
184,"anon15","female",25,"english","Yes","X_XandY","X","XandY","ele","dogandele","wrong","unsure","no","ternary"
185,"anon15","female",25,"english","Yes","XY_XorY","XY","XorY","catele","catorele","right","unsure","no","ternary"
186,"anon15","female",25,"english","Yes","X_X","X","X","ele","ele","right","unsure","no","ternary"
187,"anon15","female",25,"english","Yes","X_X","X","X","cat","cat","right","unsure","no","ternary"
188,"anon15","female",25,"english","Yes","XY_XorY","XY","XorY","catdog","catordog","neiter","unsure","no","ternary"
189,"anon15","female",25,"english","Yes","X_XorY","X","XorY","dog","catordog","right","unsure","no","ternary"
190,"anon15","female",25,"english","Yes","X_XandY","X","XandY","cat","catanddog","wrong","unsure","no","ternary"
191,"anon15","female",25,"english","Yes","X_XandY","X","XandY","ele","catandele","wrong","unsure","no","ternary"
192,"anon15","female",25,"english","Yes","XY_Z","XY","Z","dogele","cat","wrong","unsure","no","ternary"
193,"anon17","female",30,"English","No","X_XorY","X","XorY","dog","catordog","right","To interpret how we interpreted language","","ternary"
194,"anon17","female",30,"English","No","X_Z","X","Z","cat","ele","wrong","To interpret how we interpreted language","","ternary"
195,"anon17","female",30,"English","No","X_X","X","X","ele","ele","right","To interpret how we interpreted language","","ternary"
196,"anon17","female",30,"English","No","XY_XorY","XY","XorY","dogele","dogorele","neiter","To interpret how we interpreted language","","ternary"
197,"anon17","female",30,"English","No","X_XandY","X","XandY","ele","dogandele","wrong","To interpret how we interpreted language","","ternary"
198,"anon17","female",30,"English","No","X_XorY","X","XorY","ele","dogorele","right","To interpret how we interpreted language","","ternary"
199,"anon17","female",30,"English","No","XY_XorY","XY","XorY","catdog","catordog","neiter","To interpret how we interpreted language","","ternary"
200,"anon17","female",30,"English","No","XY_XandY","XY","XandY","dogele","dogandele","right","To interpret how we interpreted language","","ternary"
201,"anon17","female",30,"English","No","X_Z","X","Z","ele","dog","wrong","To interpret how we interpreted language","","ternary"
202,"anon17","female",30,"English","No","XY_X","XY","X","catele","cat","right","To interpret how we interpreted language","","ternary"
203,"anon17","female",30,"English","No","XY_XorY","XY","XorY","catele","catorele","neiter","To interpret how we interpreted language","","ternary"
204,"anon17","female",30,"English","No","X_XandY","X","XandY","cat","catandele","wrong","To interpret how we interpreted language","","ternary"
205,"anon17","female",30,"English","No","XY_XandY","XY","XandY","catele","catandele","right","To interpret how we interpreted language","","ternary"
206,"anon17","female",30,"English","No","X_XandY","X","XandY","cat","catanddog","wrong","To interpret how we interpreted language","","ternary"
207,"anon17","female",30,"English","No","X_XorY","X","XorY","cat","catorele","right","To interpret how we interpreted language","","ternary"
208,"anon17","female",30,"English","No","XY_XandY","XY","XandY","catdog","catanddog","right","To interpret how we interpreted language","","ternary"
209,"anon17","female",30,"English","No","XY_Z","XY","Z","dogele","cat","wrong","To interpret how we interpreted language","","ternary"
210,"anon17","female",30,"English","No","X_Z","X","Z","ele","cat","wrong","To interpret how we interpreted language","","ternary"
211,"anon17","female",30,"English","No","X_X","X","X","cat","cat","right","To interpret how we interpreted language","","ternary"
212,"anon17","female",30,"English","No","XY_X","XY","X","catdog","dog","right","To interpret how we interpreted language","","ternary"
213,"anon17","female",30,"English","No","XY_X","XY","X","catdog","cat","right","To interpret how we interpreted language","","ternary"
214,"anon17","female",30,"English","No","XY_Z","XY","Z","catele","dog","wrong","To interpret how we interpreted language","","ternary"
215,"anon17","female",30,"English","No","X_X","X","X","dog","dog","right","To interpret how we interpreted language","","ternary"
216,"anon17","female",30,"English","No","XY_Z","XY","Z","catdog","ele","wrong","To interpret how we interpreted language","","ternary"
217,"anon18","male",34,"English","Yes","X_XorY","X","XorY","cat","catordog","right","Not sure","","ternary"
218,"anon18","male",34,"English","Yes","X_XandY","X","XandY","ele","catandele","neiter","Not sure","","ternary"
219,"anon18","male",34,"English","Yes","XY_X","XY","X","catele","cat","wrong","Not sure","","ternary"
220,"anon18","male",34,"English","Yes","XY_XandY","XY","XandY","catele","catandele","wrong","Not sure","","ternary"
221,"anon18","male",34,"English","Yes","XY_XorY","XY","XorY","catele","catorele","right","Not sure","","ternary"
222,"anon18","male",34,"English","Yes","XY_X","XY","X","dogele","dog","wrong","Not sure","","ternary"
223,"anon18","male",34,"English","Yes","XY_X","XY","X","catdog","cat","right","Not sure","","ternary"
224,"anon18","male",34,"English","Yes","X_XandY","X","XandY","ele","dogandele","wrong","Not sure","","ternary"
225,"anon18","male",34,"English","Yes","XY_XorY","XY","XorY","dogele","dogorele","right","Not sure","","ternary"
226,"anon18","male",34,"English","Yes","X_XorY","X","XorY","ele","catorele","right","Not sure","","ternary"
227,"anon18","male",34,"English","Yes","X_X","X","X","dog","dog","right","Not sure","","ternary"
228,"anon18","male",34,"English","Yes","XY_XandY","XY","XandY","catdog","catanddog","right","Not sure","","ternary"
229,"anon18","male",34,"English","Yes","X_X","X","X","cat","cat","right","Not sure","","ternary"
230,"anon18","male",34,"English","Yes","XY_XandY","XY","XandY","dogele","dogandele","right","Not sure","","ternary"
231,"anon18","male",34,"English","Yes","XY_Z","XY","Z","dogele","cat","right","Not sure","","ternary"
232,"anon18","male",34,"English","Yes","X_Z","X","Z","dog","ele","wrong","Not sure","","ternary"
233,"anon18","male",34,"English","Yes","X_XorY","X","XorY","cat","catorele","right","Not sure","","ternary"
234,"anon18","male",34,"English","Yes","X_XandY","X","XandY","cat","catanddog","wrong","Not sure","","ternary"
235,"anon18","male",34,"English","Yes","X_X","X","X","ele","ele","right","Not sure","","ternary"
236,"anon18","male",34,"English","Yes","X_Z","X","Z","cat","ele","wrong","Not sure","","ternary"
237,"anon18","male",34,"English","Yes","XY_Z","XY","Z","catdog","ele","wrong","Not sure","","ternary"
238,"anon18","male",34,"English","Yes","XY_XorY","XY","XorY","catdog","catordog","right","Not sure","","ternary"
239,"anon18","male",34,"English","Yes","XY_Z","XY","Z","catele","dog","wrong","Not sure","","ternary"
240,"anon18","male",34,"English","Yes","X_Z","X","Z","cat","dog","wrong","Not sure","","ternary"
265,"anon20","male",46,"English","No","X_XorY","X","XorY","ele","dogorele","right","To determine whether AND or OR affected the right/wrong decision.","","binary"
266,"anon20","male",46,"English","No","X_XorY","X","XorY","dog","catordog","right","To determine whether AND or OR affected the right/wrong decision.","","binary"
267,"anon20","male",46,"English","No","XY_X","XY","X","dogele","ele","right","To determine whether AND or OR affected the right/wrong decision.","","binary"
268,"anon20","male",46,"English","No","XY_Z","XY","Z","catele","dog","wrong","To determine whether AND or OR affected the right/wrong decision.","","binary"
269,"anon20","male",46,"English","No","XY_X","XY","X","catele","cat","right","To determine whether AND or OR affected the right/wrong decision.","","binary"
270,"anon20","male",46,"English","No","X_XandY","X","XandY","ele","dogandele","wrong","To determine whether AND or OR affected the right/wrong decision.","","binary"
271,"anon20","male",46,"English","No","XY_XorY","XY","XorY","dogele","dogorele","wrong","To determine whether AND or OR affected the right/wrong decision.","","binary"
272,"anon20","male",46,"English","No","XY_XorY","XY","XorY","catdog","catordog","wrong","To determine whether AND or OR affected the right/wrong decision.","","binary"
273,"anon20","male",46,"English","No","XY_XandY","XY","XandY","dogele","dogandele","right","To determine whether AND or OR affected the right/wrong decision.","","binary"
274,"anon20","male",46,"English","No","X_XandY","X","XandY","cat","catandele","wrong","To determine whether AND or OR affected the right/wrong decision.","","binary"
275,"anon20","male",46,"English","No","XY_XandY","XY","XandY","catele","catandele","right","To determine whether AND or OR affected the right/wrong decision.","","binary"
276,"anon20","male",46,"English","No","X_X","X","X","ele","ele","right","To determine whether AND or OR affected the right/wrong decision.","","binary"
277,"anon20","male",46,"English","No","X_XandY","X","XandY","dog","catanddog","wrong","To determine whether AND or OR affected the right/wrong decision.","","binary"
278,"anon20","male",46,"English","No","XY_XandY","XY","XandY","catdog","catanddog","right","To determine whether AND or OR affected the right/wrong decision.","","binary"
279,"anon20","male",46,"English","No","XY_Z","XY","Z","dogele","cat","wrong","To determine whether AND or OR affected the right/wrong decision.","","binary"
280,"anon20","male",46,"English","No","XY_X","XY","X","catdog","cat","right","To determine whether AND or OR affected the right/wrong decision.","","binary"
281,"anon20","male",46,"English","No","X_X","X","X","dog","dog","right","To determine whether AND or OR affected the right/wrong decision.","","binary"
282,"anon20","male",46,"English","No","X_Z","X","Z","dog","ele","wrong","To determine whether AND or OR affected the right/wrong decision.","","binary"
283,"anon20","male",46,"English","No","XY_Z","XY","Z","catdog","ele","wrong","To determine whether AND or OR affected the right/wrong decision.","","binary"
284,"anon20","male",46,"English","No","X_X","X","X","cat","cat","right","To determine whether AND or OR affected the right/wrong decision.","","binary"
285,"anon20","male",46,"English","No","X_Z","X","Z","cat","dog","wrong","To determine whether AND or OR affected the right/wrong decision.","","binary"
286,"anon20","male",46,"English","No","X_Z","X","Z","dog","cat","wrong","To determine whether AND or OR affected the right/wrong decision.","","binary"
287,"anon20","male",46,"English","No","X_XorY","X","XorY","dog","dogorele","wrong","To determine whether AND or OR affected the right/wrong decision.","","binary"
288,"anon20","male",46,"English","No","XY_XorY","XY","XorY","catele","catorele","wrong","To determine whether AND or OR affected the right/wrong decision.","","binary"
289,"anon21","male",23,"English","No","XY_X","XY","X","catdog","cat","right","The goal was to see if you can follow directions using a game. ","","binary"
290,"anon21","male",23,"English","No","X_X","X","X","ele","ele","right","The goal was to see if you can follow directions using a game. ","","binary"
291,"anon21","male",23,"English","No","XY_Z","XY","Z","dogele","cat","wrong","The goal was to see if you can follow directions using a game. ","","binary"
292,"anon21","male",23,"English","No","XY_XorY","XY","XorY","catele","catorele","right","The goal was to see if you can follow directions using a game. ","","binary"
293,"anon21","male",23,"English","No","X_XorY","X","XorY","dog","dogorele","right","The goal was to see if you can follow directions using a game. ","","binary"
294,"anon21","male",23,"English","No","X_Z","X","Z","ele","cat","wrong","The goal was to see if you can follow directions using a game. ","","binary"
295,"anon21","male",23,"English","No","XY_X","XY","X","catele","ele","right","The goal was to see if you can follow directions using a game. ","","binary"
296,"anon21","male",23,"English","No","XY_Z","XY","Z","catele","dog","wrong","The goal was to see if you can follow directions using a game. ","","binary"
297,"anon21","male",23,"English","No","XY_XorY","XY","XorY","catdog","catordog","right","The goal was to see if you can follow directions using a game. ","","binary"
298,"anon21","male",23,"English","No","X_Z","X","Z","dog","cat","wrong","The goal was to see if you can follow directions using a game. ","","binary"
299,"anon21","male",23,"English","No","XY_XandY","XY","XandY","dogele","dogandele","right","The goal was to see if you can follow directions using a game. ","","binary"
300,"anon21","male",23,"English","No","XY_XorY","XY","XorY","dogele","dogorele","wrong","The goal was to see if you can follow directions using a game. ","","binary"
301,"anon21","male",23,"English","No","X_XorY","X","XorY","ele","catorele","right","The goal was to see if you can follow directions using a game. ","","binary"
302,"anon21","male",23,"English","No","X_Z","X","Z","cat","dog","wrong","The goal was to see if you can follow directions using a game. ","","binary"
303,"anon21","male",23,"English","No","XY_XandY","XY","XandY","catele","catandele","right","The goal was to see if you can follow directions using a game. ","","binary"
304,"anon21","male",23,"English","No","X_XorY","X","XorY","dog","catordog","right","The goal was to see if you can follow directions using a game. ","","binary"
305,"anon21","male",23,"English","No","X_XandY","X","XandY","cat","catanddog","wrong","The goal was to see if you can follow directions using a game. ","","binary"
306,"anon21","male",23,"English","No","XY_X","XY","X","dogele","ele","wrong","The goal was to see if you can follow directions using a game. ","","binary"
